,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Winnipeg Jets,Toronto Maple Leafs,WPG,TOR,2017020001,1,1.232767653,0.912914098,1.419278626,7.457444727,2.163318153,0.440215933,0.806123627,0.191327432,1.914752005,4.847689618,4.519348703,4.181096708,0.521899489,2.775169849,1.136866672,0.947941622,1.458134871,8.048143681,1.788903416,4.11588527,0.417058119,0.846346214,0.188873409,1.570242281,3.570928622,4.750028999,3.675042001,-0.210760682,2.808269,5.224682196
0,Pittsburgh Penguins,St. Louis Blues,PIT,STL,2017020002,1,1.260562487,0.833692094,1.93711497,7.32325671,1.945942467,-0.208801187,0.781974541,0.239861542,1.617484318,5.248819371,4.377669529,3.978312634,0.041005206,2.919904,1.036887052,0.664678919,1.719828579,7.204825027,1.853942797,5.677495446,0.019668537,0.709324774,0.285048355,1.2781792,5.257805379,5.220001431,3.412068972,0.251100215,2.7495,5.898875553
0,Edmonton Oilers,Calgary Flames,EDM,CGY,2017020003,0,1.181099583,0.744502463,2.025817892,7.388745933,1.513468101,-0.199384178,0.605908869,0.199031409,1.878432536,5.728726992,5.388046342,5.943986179,0.205183463,3.024048,1.059125455,0.651010278,2.543636234,7.534123019,1.547520939,5.768585237,-0.398923468,0.668015548,0.223788609,1.707457624,5.5413493,4.175646726,3.249445042,-0.301210982,2.651539,5.122756534
0,San Jose Sharks,Philadelphia Flyers,SJS,PHI,2017020004,1,1.123492997,0.822630387,1.623987719,7.09262254,2.336260957,-0.04865012,1.014317503,0.232405802,1.381337904,5.38420304,4.810180818,3.433186077,0.052167544,2.547037,1.22567664,0.787025656,1.585866535,6.829714192,1.861867907,3.483877607,0.05928606,0.727894601,0.273861852,2.371733408,5.409942602,4.439714607,5.857022672,0.362105655,2.664552,3.409257652
0,Boston Bruins,Nashville Predators,BOS,NSH,2017020005,0,1.262606467,0.941823391,2.085041565,7.993069669,1.933763828,0.237464976,0.60574437,0.141058728,2.572489401,4.037377626,4.034513392,5.409224321,0.55096849,2.363632,1.106854497,0.836248426,3.111435619,7.234017414,2.288129028,4.947776668,0.478099104,0.804559817,0.283091333,1.593751209,5.09448153,3.837923756,4.189134417,0.357376697,2.313369,5.301285691
0,Buffalo Sabres,Montréal Canadiens,BUF,MTL,2017020006,1,0.863449396,0.704577371,1.662890998,7.445471022,1.954189928,-1.115928002,0.518663885,0.085212494,1.86230583,4.278175472,3.92163849,4.397926645,-0.94254468,3.008398,0.922966793,0.675156876,2.256955491,7.920442386,1.97629062,4.657353779,-0.592435927,0.558389129,0.24863393,1.113118683,4.979050152,4.794304383,4.741716284,-0.797181767,3.11075,4.067950587
0,New York Rangers,Colorado Avalanche,NYR,COL,2017020007,1,1.055425065,0.911332863,1.386929861,7.906934788,1.904492929,-0.614865823,0.695068514,0.122392071,1.964100476,4.919129194,4.677575769,4.281986019,-0.492745059,2.9807,1.220772193,0.90739254,1.389360943,7.26361821,1.967826618,3.126130648,-0.227136587,0.795907756,0.30141557,2.409534842,4.436596936,5.268773225,4.754065323,0.219325254,2.684329,3.546023784
0,Ottawa Senators,Washington Capitals,OTT,WSH,2017020008,1,1.144099013,0.652236757,1.425327696,6.771408567,2.414264577,-0.367820152,0.842459664,0.280320848,1.883650027,5.146686933,4.949430687,6.376485297,-0.356273849,3.322532,1.128563236,0.869885296,2.445931589,6.71722029,2.000000506,5.274640651,-0.12419504,0.817850258,0.229058978,1.620787979,3.979884655,4.541373519,3.633812645,0.564157869,2.992372,4.026610319
0,Detroit Red Wings,Minnesota Wild,DET,MIN,2017020009,0,1.034013957,0.726939394,2.221968411,7.215227808,2.057370572,-0.324153025,0.603149654,0.191411135,1.362902901,4.097323401,4.167126477,3.213909213,-0.309206427,2.850681,1.115578669,0.891403146,1.714544137,7.726335109,2.380389392,3.646309676,0.25334136,1.004462322,0.221606289,1.656554536,3.979357195,4.25660259,2.862641191,0.033299299,2.521508,4.838253699
0,Chicago Blackhawks,Pittsburgh Penguins,CHI,PIT,2017020010,0,1.07293402,0.800830767,1.831654088,7.65749708,1.875299103,-0.229153761,0.720150594,0.200149115,1.129232476,5.612093113,4.750086078,2.926040419,-0.188036207,2.273445,1.260562487,0.833692094,1.93711497,7.32325671,1.945942467,5.898875553,-0.208801187,0.781974541,0.239861542,1.617484318,5.248819371,4.377669529,3.978312634,0.041005206,3.013117321,4.245763432
0,Anaheim Ducks,Arizona Coyotes,ANA,ARI,2017020011,0,1.121004225,0.716743916,2.229648015,6.950489653,2.169388694,-0.031910635,0.671783809,0.170294795,1.884559745,4.168257778,4.713963637,4.233484329,0.072781141,2.432563,0.934974081,0.642664844,1.806529153,7.039230011,2.062335214,5.227099483,-0.643126156,0.720548826,0.263536967,1.321685473,4.028881387,4.564447224,4.452666059,-0.530854637,3.408562,5.48227118
0,Los Angeles Kings,Philadelphia Flyers,LAK,PHI,2017020012,0,1.03545712,0.823358546,1.756269935,7.9419575,1.583573448,0.248324854,0.900175428,0.308978062,2.34317174,4.490497865,4.421505003,6.296074526,0.497685187,2.39864,1.22567664,0.787025656,1.585866535,6.829714192,1.861867907,3.483877607,0.05928606,0.727894601,0.273861852,2.371733408,5.409942602,4.439714607,5.857022672,0.362105655,2.599361,5.351973822
0,Columbus Blue Jackets,New York Islanders,CBJ,NYI,2017020013,0,1.021812911,0.745007035,1.780550595,7.581382676,2.027126302,0.124602115,0.714039446,0.272463282,0.924620098,5.456706564,4.689984665,3.49961774,0.125366324,2.423581,1.342260256,0.87537674,1.351607424,6.707762548,2.016228887,4.118135694,-0.387713868,0.844050657,0.21958185,1.36874587,5.238423849,5.090999545,4.915284171,-0.179797103,3.505591784,4.518971302
0,Tampa Bay Lightning,Florida Panthers,TBL,FLA,2017020014,0,1.383136759,0.870706622,1.890517827,7.478233521,2.051627155,0.4888028,0.838384941,0.306779165,1.768627619,5.136788381,4.06102874,4.501671149,0.679497216,2.619482,1.185448889,0.804735794,2.100748079,8.591191801,2.144110408,4.20025878,-0.299151928,0.68610668,0.269826371,2.242271706,4.712217022,4.211304326,4.011384441,-0.056401881,2.472066,4.729151694
0,Dallas Stars,Vegas Golden Knights,DAL,VGK,2017020015,1,0.973314157,0.805587037,2.168027507,7.680710846,2.144686256,-0.09318316,0.712288221,0.18590593,1.880754421,4.32706281,4.608321489,5.039890148,0.351421016,2.527099936,1.272252282,0.924948516,1.420289934,7.876072775,1.811059821,4.305175829,0.315229506,0.806998842,0.187635993,1.418658787,4.085052547,5.203607624,4.343725457,0.28597181,2.244333,5.158303388
0,New Jersey Devils,Colorado Avalanche,NJD,COL,2017020019,0,1.115501745,0.894426467,1.704947713,7.626301249,1.99673644,-0.081502894,0.585140885,0.163799435,2.454086302,4.300351562,4.56446042,4.682617888,-0.211306699,2.93279,1.220772193,0.90739254,1.389360943,7.26361821,1.967826618,3.126130648,-0.227136587,0.757511855,0.273611004,2.309847042,4.21996731,5.229301388,5.182360279,0.234117136,2.84803,4.418964796
0,Toronto Maple Leafs,New York Rangers,TOR,NYR,2017020016,0,1.136866672,0.947941622,1.458134871,8.048143681,1.788903416,0.417058119,0.987227978,0.194525541,1.617312989,4.255562593,3.967901457,3.669505279,-0.101593789,2.808269,1.055425065,0.911332863,1.386929861,7.906934788,1.904492929,3.546023784,-0.614865823,0.695068514,0.122392071,1.964100476,4.919129194,4.677575769,4.281986019,-0.492745059,3.01454641,4.11588527
0,Ottawa Senators,Detroit Red Wings,OTT,DET,2017020017,1,1.144099013,0.652236757,1.425327696,6.771408567,2.414264577,-0.367820152,0.765305549,0.251257047,1.902395006,4.878081222,4.793009194,6.439036475,-0.533377927,3.322532,1.034013957,0.726939394,2.221968411,7.215227808,2.057370572,4.838253699,-0.324153025,0.603149654,0.191411135,1.362902901,4.097323401,4.167126477,3.213909213,-0.309206427,2.850681,4.026610319
0,Florida Panthers,Tampa Bay Lightning,FLA,TBL,2017020018,0,1.185448889,0.804735794,2.100748079,8.591191801,2.144110408,-0.299151928,0.68610668,0.269826371,2.242271706,4.712217022,4.211304326,4.011384441,-0.056401881,2.985797,1.383136759,0.870706622,1.890517827,7.478233521,2.051627155,4.729151694,0.4888028,0.838384941,0.306779165,1.768627619,5.136788381,4.06102874,4.501671149,0.679497216,2.619482,4.20025878
