,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Ottawa Senators,Tampa Bay Lightning,OTT,TBL,2005030111,0,1.510508367,1.189052262,3.33657169,8.897502387,1.469106276,0.94855711,0.94327069,0.29176286,3.148938463,5.26003929,4.585025049,4.882627897,0.833248516,2.44224825,1.172189973,0.845137956,2.352546116,8.1039858,1.321924306,3.308248371,-0.590277775,0.776247377,0.145330329,2.477896493,3.402037222,4.993269436,2.286097172,-0.303276088,2.982754341,4.011191982
0,Detroit Red Wings,Edmonton Oilers,DET,EDM,2005030151,0,1.394303431,1.027936697,2.72691939,8.831241843,1.420358673,0.716140428,1.00511948,0.325045191,2.832885324,4.74558814,3.640409729,2.712174918,0.883527947,2.189216,1.350773487,0.892938276,2.748761711,7.412973144,1.373551235,2.668497871,-0.057057248,0.821783585,0.353185218,2.856993982,4.451232755,4.521606986,2.699659066,0.033248901,2.734153,3.175218823
0,Nashville Predators,San Jose Sharks,NSH,SJS,2005030181,0,1.21613423,0.905157674,4.09933624,7.405112697,1.631970795,0.219259674,0.865027425,0.205511663,3.740132761,3.973130171,4.624051431,3.705204875,0.273260553,2.607841243,1.377983859,0.985543449,3.747489332,7.831746174,1.630825569,4.187569399,0.256775294,0.667398052,0.221945194,2.546865445,3.556263518,3.206208163,3.877549009,0.051495389,2.232488056,2.911210507
0,Calgary Flames,Anaheim Ducks,CGY,ANA,2005030171,0,0.978803888,0.710514052,3.641057421,6.461343605,1.637009756,-0.023345672,0.694009904,0.206914468,3.753299662,4.01739513,3.51554499,4.653462197,0.217227117,2.068651,1.222568642,0.902144458,3.67274628,7.895912765,1.051188638,3.297795782,0.163563907,0.78215282,0.161341676,3.924418091,3.92931671,2.750197046,3.349776792,0.331820516,2.591597294,3.798332919
0,New Jersey Devils,New York Rangers,NJD,NYR,2005030131,0,1.16531979,0.848338651,3.464910006,7.862069762,1.197190583,-0.115369485,0.769248639,0.101835921,1.939359782,2.654577823,4.836743302,3.645972224,0.080623509,2.570692,1.300902264,0.991668256,3.065983353,8.059863831,1.84930837,3.055235944,0.28880249,0.667919227,0.21320987,2.975917875,3.922541698,4.709466466,3.010318832,0.218175962,2.236588,3.332440474
0,Dallas Stars,Colorado Avalanche,DAL,COL,2005030161,1,1.286634605,0.865460347,4.748554412,7.110880438,1.372000706,0.189357202,0.791330591,0.267573074,3.057647174,3.810786774,4.610924493,3.615652281,0.362061454,2.547184,1.511706601,0.888217743,2.973015421,6.905436398,1.59000724,2.397563433,-0.170449907,0.927832018,0.316800708,2.765632137,4.693040783,5.012535352,2.52050405,0.110814249,3.334026911,4.683167216
0,Carolina Hurricanes,Montréal Canadiens,CAR,MTL,2005030121,1,1.451143687,0.997294352,2.350178365,7.924145615,1.766702628,-0.032094029,0.819828424,0.256837966,2.950838602,3.796018622,5.140563763,3.130889061,0.159398466,2.782801,1.100112332,0.784174295,3.643449213,6.947857139,2.080509084,4.156653182,0.008503446,0.825843001,0.231976166,4.215997613,4.206934052,4.225886136,4.120738888,-0.128227804,2.196879,2.848027855
0,Buffalo Sabres,Philadelphia Flyers,BUF,PHI,2005030141,0,1.439794205,0.948357251,4.244292854,8.070116674,1.726423071,-0.167902026,1.058801904,0.164122477,2.730951672,2.548280094,4.504231493,2.374911791,-0.344483346,2.599732,1.288375526,0.774552907,3.479398037,7.60313507,1.50776457,3.730936128,0.178076715,0.866275398,0.208323583,2.997631566,3.971723971,4.55362497,4.187177964,0.158333764,2.96536,3.183709298
0,Detroit Red Wings,Edmonton Oilers,DET,EDM,2005030152,1,1.512919512,1.049307861,2.560705559,8.607418066,1.429894482,0.758714432,1.011159962,0.300130387,3.001126638,4.513677544,3.638412691,2.706597465,0.737205658,2.189216,1.18668374,0.831236198,2.708415942,7.506818262,1.381613406,3.364784519,-0.123989119,0.661567688,0.277632497,3.005367265,3.804031711,4.967403881,2.595279409,-0.506596635,2.763635433,2.95773092
0,Nashville Predators,San Jose Sharks,NSH,SJS,2005030182,1,1.21613423,0.905157674,4.09933624,7.405112697,1.631970795,0.219259674,0.865027425,0.205511663,3.740132761,3.973130171,4.624051431,3.705204875,0.273260553,2.607841243,1.377983859,0.985543449,3.747489332,7.831746174,1.630825569,4.187569399,0.256775294,0.667398052,0.221945194,2.546865445,3.556263518,3.206208163,3.877549009,0.051495389,2.232488056,2.911210507
0,Ottawa Senators,Tampa Bay Lightning,OTT,TBL,2005030112,1,1.510508367,1.189052262,3.33657169,8.897502387,1.469106276,0.94855711,0.94327069,0.29176286,3.148938463,5.26003929,4.585025049,4.882627897,0.833248516,2.44224825,1.172189973,0.845137956,2.352546116,8.1039858,1.321924306,3.308248371,-0.590277775,0.776247377,0.145330329,2.477896493,3.402037222,4.993269436,2.286097172,-0.303276088,2.982754341,4.011191982
0,Calgary Flames,Anaheim Ducks,CGY,ANA,2005030172,1,0.978803888,0.710514052,3.641057421,6.461343605,1.637009756,-0.023345672,0.694009904,0.206914468,3.753299662,4.01739513,3.51554499,4.653462197,0.217227117,2.068651,1.222568642,0.902144458,3.67274628,7.895912765,1.051188638,3.297795782,0.163563907,0.78215282,0.161341676,3.924418091,3.92931671,2.750197046,3.349776792,0.331820516,2.661606,3.798332919
0,Carolina Hurricanes,Montréal Canadiens,CAR,MTL,2005030122,1,1.451143687,0.997294352,2.350178365,7.924145615,1.766702628,-0.032094029,0.819828424,0.256837966,2.950838602,3.796018622,5.140563763,3.130889061,0.159398466,3.210062978,1.100112332,0.784174295,3.643449213,6.947857139,2.080509084,4.156653182,0.008503446,0.825843001,0.231976166,4.215997613,4.206934052,4.225886136,4.120738888,-0.128227804,2.196879,2.848027855
0,New Jersey Devils,New York Rangers,NJD,NYR,2005030132,0,1.151027692,0.829629823,3.528506235,7.67398278,1.160471769,-0.094106218,0.769248639,0.101835921,1.939359782,2.654577823,4.836743302,3.645972224,0.080623509,2.570692,1.527617512,0.9510141,4.060477851,8.009490573,1.773494639,3.210031016,0.837056173,0.667919227,0.21320987,2.975917875,3.922541698,4.709466466,3.010318832,0.218175962,2.951165,3.30260286
0,Buffalo Sabres,Philadelphia Flyers,BUF,PHI,2005030142,0,1.439794205,0.948357251,4.244292854,8.070116674,1.726423071,-0.167902026,1.058801904,0.164122477,2.730951672,2.548280094,4.504231493,2.374911791,-0.344483346,2.599732,1.288375526,0.774552907,3.479398037,7.60313507,1.50776457,3.730936128,0.178076715,0.866275398,0.208323583,2.997631566,3.971723971,4.55362497,4.187177964,0.158333764,2.965911712,3.183709298
0,Dallas Stars,Colorado Avalanche,DAL,COL,2005030162,1,1.286634605,0.865460347,4.748554412,7.110880438,1.372000706,0.189357202,0.791330591,0.267573074,3.057647174,3.810786774,4.610924493,3.615652281,0.362061454,2.547184,1.511706601,0.888217743,2.973015421,6.905436398,1.59000724,2.397563433,-0.170449907,0.927832018,0.316800708,2.765632137,4.693040783,5.012535352,2.52050405,0.110814249,3.334026911,4.683167216
0,Tampa Bay Lightning,Ottawa Senators,TBL,OTT,2005030113,1,1.172189973,0.845137956,2.352546116,8.1039858,1.321924306,-0.590277775,0.776247377,0.145330329,2.477896493,3.402037222,4.993269436,2.286097172,-0.303276088,2.912448848,1.510508367,1.189052262,3.33657169,8.897502387,1.469106276,4.011191982,0.94855711,0.94327069,0.29176286,3.148938463,5.26003929,4.585025049,4.882627897,0.833248516,2.44224825,3.308248371
0,Edmonton Oilers,Detroit Red Wings,EDM,DET,2005030153,0,1.18915351,0.813299435,2.911229759,7.470339184,1.381963507,-0.139789614,0.661567688,0.277632497,3.005367265,3.804031711,4.967403881,2.595279409,-0.506596635,2.763635433,1.512919512,1.049307861,2.560705559,8.607418066,1.429894482,2.95773092,0.758714432,1.011159962,0.300130387,3.001126638,4.513677544,3.638412691,2.706597465,0.737205658,2.189216,3.456846815
0,Anaheim Ducks,Calgary Flames,ANA,CGY,2005030173,1,1.222568642,0.902144458,3.67274628,7.895912765,1.051188638,0.163563907,0.78215282,0.161341676,3.924418091,3.92931671,2.750197046,3.349776792,0.331820516,2.661606,0.978803888,0.710514052,3.641057421,6.461343605,1.637009756,3.798332919,-0.023345672,0.694009904,0.206914468,3.753299662,4.01739513,3.51554499,4.653462197,0.217227117,2.068651,3.297795782
