Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Justin Abdelkader\abdelju01,25,DET,LW,48,10,3,13,6,34,1.7,10,0,0,0,3,0,0,96,10.4,711,14:49,13,120,65,60,52.0
2,Luke Adam\adamlu01,22,BUF,LW,4,1,0,1,1,2,0.2,1,0,0,0,0,0,0,2,50.0,39,9:48,2,3,1,0,100.0
3,Craig Adams\adamscr01,35,PIT,RW,48,3,6,9,-1,28,0.2,2,0,1,0,6,0,0,46,6.5,536,11:10,37,107,51,47,52.0
4,Jason Akeson\akesoja01,22,PHI,C,1,1,0,1,2,0,0.3,1,0,0,0,0,0,0,2,50.0,12,12:23,0,0,0,0,
5,Andrew Alberts\alberan01,31,VAN,D,24,0,1,1,-7,32,-0.1,0,0,0,0,1,0,0,15,0.0,364,15:11,31,39,0,0,
6,Daniel Alfredsson\alfreda01,40,OTT,RW,47,10,16,26,1,33,2.7,7,3,0,2,7,8,1,101,9.9,909,19:21,30,28,16,22,42.1
7,Akim Aliu\aliuak01,23,CGY,RW,5,0,0,0,-2,14,-0.2,0,0,0,0,0,0,0,2,0.0,54,10:52,2,5,0,0,
8,Bryan Allen\allenbr01,32,ANA,D,41,0,6,6,1,34,1.3,0,0,0,0,6,0,0,25,0.0,768,18:44,66,63,0,0,
9,Karl Alzner\alzneka01,24,WSH,D,48,1,4,5,-6,14,0.7,1,0,0,0,4,0,0,39,2.6,1006,20:57,85,45,0,0,
10,Matt Anderson\anderma01,30,NJD,RW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,0,,12,5:47,1,0,0,0,
11,Joakim Andersson\anderjo03,23,DET,C,38,3,5,8,2,8,0.6,3,0,0,0,4,1,0,43,7.0,459,12:05,12,17,144,166,46.5
12,Mike Angelidis\angelmi01,27,TBL,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,7:22,0,0,3,4,42.9
13,Artem Anisimov\anisiar01,24,CBJ,C,35,11,7,18,-6,12,2.1,10,1,0,3,7,0,0,68,16.2,574,16:25,24,13,249,260,48.9
14,Nik Antropov\antroni01,32,WPG,C,40,6,12,18,6,16,1.8,4,2,0,0,11,1,0,56,10.7,638,15:57,27,76,128,176,42.1
15,Mark Arcobello\arcobma01,24,EDM,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,18,18:15,2,0,3,7,30.0
16,Colby Armstrong\armstco01,30,MTL,RW,37,2,3,5,1,12,0.0,2,0,0,0,3,0,0,33,6.1,414,11:12,21,36,9,12,42.9
17,Arron Asham\ashamar01,34,NYR,RW,27,2,0,2,2,50,0.2,2,0,0,0,0,0,0,14,14.3,179,6:38,4,39,5,5,50.0
18,Cam Atkinson\atkinca01,23,CBJ,RW,35,9,9,18,9,4,2.5,8,1,0,1,8,1,0,91,9.9,546,15:35,16,24,0,0,
