Rk▼,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Jason Zucker\zuckeja01,30,PIT,LW,41,8,9,17,-2,15,1.3,6,2,0,0,9,0,0,102,7.8,608,14:49,20,66,4,11,26.7
2,Mats Zuccarello\zuccama01,34,MIN,LW,70,24,55,79,21,24,7.9,17,7,0,2,34,21,0,159,15.1,1301,18:35,33,36,21,34,38.2
3,Artem Zub\zubar01,26,OTT,D,81,6,16,22,1,60,4.9,6,0,0,0,16,0,0,92,6.5,1704,21:02,124,155,0,0,
4,Radim Zohorna\zohorra01,25,PIT,F,17,2,4,6,12,4,0.9,2,0,0,0,4,0,0,9,22.2,176,10:20,3,23,4,8,33.3
5,Mika Zibanejad\zibanmi01,28,NYR,C,81,29,52,81,30,12,9.2,13,15,1,3,35,13,4,219,13.2,1591,19:38,47,67,700,638,52.3
6,Fabian Zetterlund\zettefa01,22,NJD,W,14,3,5,8,5,0,0.9,3,0,0,0,5,0,0,36,8.3,187,13:21,7,16,2,1,66.7
7,Trevor Zegras\zegratr01,20,ANA,C,75,23,38,61,-21,50,5.4,14,9,0,5,30,8,0,181,12.7,1343,17:54,27,56,217,327,39.9
8,Jakub Zboril\zborija01,24,BOS,D,10,0,3,3,1,4,0.5,0,0,0,0,3,0,0,13,0.0,157,15:44,10,24,0,0,
9,Yegor Zamula\zamulye01,21,PHI,D,10,0,0,0,-6,4,-0.3,0,0,0,0,0,0,0,4,0.0,163,16:21,19,5,0,0,
10,Nikita Zaitsev\zaitsni01,30,OTT,D,62,2,9,11,-7,28,2.2,2,0,0,0,7,0,2,65,3.1,1177,18:59,103,128,0,0,
11,Nikita Zadorov\zadorni01,26,CGY,D,74,4,18,22,11,77,4.1,4,0,0,0,18,0,0,106,3.8,1251,16:55,49,181,0,0,
12,Filip Zadina\zadinfi01,22,DET,RW,74,10,14,24,-24,10,0.8,6,4,0,1,10,4,0,154,6.5,1049,14:11,34,57,5,5,50.0
13,Pavel Zacha\zachapa01,24,NJD,C,70,15,21,36,-21,22,2.3,11,4,0,1,17,4,0,148,10.1,1179,16:51,18,80,189,188,50.1
14,Cameron York\yorkca01,21,PHI,D,30,3,7,10,-14,6,0.9,2,1,0,0,4,3,0,33,9.1,572,19:05,40,20,0,0,
15,Jesse Ylönen\yloneje01,22,MTL,RW,14,2,3,5,2,2,0.5,2,0,0,0,3,0,0,16,12.5,162,11:34,4,5,0,0,
16,Keith Yandle\yandlke01,35,PHI,D,77,1,18,19,-47,14,-0.3,0,1,0,0,8,10,0,105,1.0,1076,13:59,40,29,0,0,
17,Kailer Yamamoto\yamamka01,23,EDM,RW,81,20,21,41,-1,40,3.4,16,3,1,4,17,3,1,114,17.5,1367,16:52,36,114,2,4,33.3
18,Miles Wood\woodmi01,26,NJD,LW,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,2,0.0,44,14:46,1,5,0,0,
19,Christian Wolanin\wolanch01,26,TOT,D,9,1,1,2,-1,2,0.4,1,0,0,0,1,0,0,5,20.0,132,14:42,13,5,0,0,
20,Luke Witkowski\witkolu01,31,DET,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,9:18,0,1,0,0,
21,Tom Wilson\wilsoto01,27,WSH,RW,78,24,28,52,13,98,5.5,18,4,2,5,21,6,1,151,15.9,1449,18:35,55,240,22,30,42.3
22,Maxwell Willman\willmma01,26,PHI,C,41,4,2,6,-13,16,-0.2,4,0,0,0,2,0,0,65,6.2,483,11:46,10,53,2,5,28.6
23,Chris Wideman\widemch01,32,MTL,D,64,4,23,27,-25,67,1.9,4,0,0,1,11,12,0,76,5.3,952,14:53,46,44,0,0,
24,Zach Whitecloud\whiteza01,25,VEG,D,59,8,11,19,21,20,5.0,7,0,1,1,11,0,0,94,8.5,1109,18:48,115,98,0,0,
25,Colton White\whiteco03,24,NJD,D,27,0,4,4,2,8,0.9,0,0,0,0,4,0,0,18,0.0,358,13:15,14,24,0,0,
26,Colin White\whiteco02,25,OTT,C,24,3,7,10,-11,4,0.3,1,2,0,1,2,5,0,47,6.4,368,15:20,4,28,86,91,48.6
27,Blake Wheeler\wheelbl01,35,WPG,RW,65,17,43,60,-15,36,4.7,14,3,0,2,26,17,0,167,10.2,1270,19:32,37,62,4,17,19.0
28,Zach Werenski\werenza01,24,CBJ,D,68,11,37,48,-15,22,5.8,7,4,0,2,26,10,1,216,5.1,1745,25:40,95,33,0,0,
29,Alexander Wennberg\wennbal01,27,SEA,C,80,11,26,37,-26,28,1.6,9,2,0,2,21,4,1,95,11.6,1428,17:51,44,47,555,635,46.6
30,MacKenzie Weegar\weegama01,28,FLA,D,80,8,36,44,40,81,7.9,6,1,1,2,33,2,1,203,3.9,1870,23:22,156,179,0,0,
31,Jasper Weatherby\weathja01,24,SJS,C,50,5,6,11,-14,18,0.3,4,1,0,0,5,1,0,45,11.1,562,11:14,24,52,173,168,50.7
32,Austin Watson\watsoau01,30,OTT,LW,67,10,6,16,-3,91,1.3,9,0,1,1,6,0,0,88,11.4,803,11:59,63,213,7,13,35.0
33,Reilly Walsh\walshre01,22,NJD,D,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,14,14:23,2,0,0,0,
34,Jake Walman\walmaja01,25,TOT,D,51,3,7,10,-3,10,1.6,3,0,0,0,6,1,0,87,3.4,715,14:01,58,47,0,0,
35,Sean Walker\walkese01,27,LAK,D,6,0,2,2,-1,4,0.2,0,0,0,0,1,1,0,18,0.0,110,18:22,9,9,0,0,
36,Nathan Walker\walkena01,27,STL,C,30,8,4,12,1,2,1.3,8,0,0,2,4,0,0,38,21.1,346,11:33,22,58,8,15,34.8
37,Oliver Wahlstrom\wahlsol01,21,NYI,RW,73,13,11,24,-6,74,2.2,8,5,0,2,8,3,0,157,8.3,880,12:04,19,101,6,8,42.9
38,Chris Wagner\wagnech01,30,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,16,15:57,0,11,0,1,0.0
39,Jakub Vrana\vranaja01,25,DET,LW,26,13,6,19,-8,16,2.2,8,5,0,3,5,1,0,65,20.0,388,14:56,9,14,1,2,33.3
40,Jakub Voracek\voracja01,32,CBJ,RW,79,6,56,62,-13,44,3.7,4,2,0,2,33,23,0,147,4.1,1379,17:28,28,27,5,28,15.2
41,Marc-Edouard Vlasic\vlasima01,34,SJS,D,75,3,11,14,-22,18,1.9,3,0,0,0,11,0,0,63,4.8,1141,15:13,90,54,0,0,
42,Alex Vlasic\vlasial01,20,CHI,D,15,1,1,2,-2,2,0.4,1,0,0,0,1,0,0,12,8.3,215,14:19,16,15,0,0,
43,Gabriel Vilardi\vilarga01,22,LAK,C,25,5,2,7,-5,8,0.5,3,2,0,1,2,0,0,41,12.2,338,13:31,9,6,60,71,45.8
44,Jeffrey Viel\vielje01,25,SJS,F,34,3,2,5,-2,114,0.3,3,0,0,0,2,0,0,30,10.0,299,8:48,11,84,4,8,33.3
45,Jimmy Vesey\veseyji02,28,NJD,LW,68,8,7,15,-24,12,-0.2,6,0,2,2,7,0,0,110,7.3,981,14:25,29,85,18,43,29.5
46,Kristian Vesalainen\vesalkr01,22,WPG,W,53,2,1,3,-8,6,-0.6,2,0,0,0,1,0,0,43,4.7,460,8:40,14,72,0,1,0.0
47,Carter Verhaeghe\verhaca01,26,FLA,C,78,24,31,55,24,48,5.8,24,0,0,4,28,3,0,167,14.4,1251,16:02,16,50,19,10,65.5
48,Joe Veleno\velenjo01,22,DET,C,66,8,7,15,-14,22,0.4,8,0,0,0,7,0,0,73,11.0,872,13:13,25,123,222,238,48.3
49,Lukas Vejdemo\vejdelu01,26,MTL,C,6,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,10,10.0,64,10:38,4,7,13,18,41.9
50,Mike Vecchione\vecchmi01,28,WSH,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,3,0.0,5,5:06,0,0,0,0,
51,Frank Vatrano\vatrafr01,27,TOT,LW,71,18,14,32,4,22,3.2,17,1,0,3,13,1,0,161,11.2,934,13:10,26,68,12,13,48.0
52,Trevor van Riemsdyk\vanritr01,30,WSH,D,72,1,16,17,-3,40,2.5,1,0,0,0,15,0,1,75,1.3,1258,17:28,129,25,0,0,
53,James van Riemsdyk\vanrija01,32,PHI,LW,82,24,14,38,-33,25,2.9,15,9,0,4,14,0,0,186,12.9,1321,16:07,25,34,10,14,41.7
