Rk,Team,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Colorado Avalanche*,28.4,82,52,16,10,4,118,.720,270,192,0.95,0.00,3.29,2.34,80,363,22.04,59,342,82.75,11,11,13.7,14.3,2395,11.3,2059,.907,7
2,New Jersey Devils*,28.5,82,48,19,12,3,111,.677,295,195,1.10,-0.12,3.60,2.38,71,310,22.90,49,320,84.69,9,6,14.9,13.6,2588,11.4,2024,.904,10
3,Detroit Red Wings*,30.1,82,49,20,9,4,111,.677,253,202,0.63,0.01,3.09,2.46,85,384,22.14,55,385,85.71,10,7,13.0,12.8,2650,9.5,2221,.909,3
4,Ottawa Senators*,25.8,82,48,21,9,4,109,.665,274,205,0.74,-0.10,3.34,2.50,71,381,18.64,49,361,86.43,10,5,12.8,14.1,2476,11.1,2235,.908,9
5,Dallas Stars*,29.4,82,48,24,8,2,106,.646,241,187,0.68,0.02,2.94,2.28,72,367,19.62,49,355,86.20,7,7,12.6,13.5,2100,11.5,2043,.908,11
6,St. Louis Blues*,28.5,82,43,22,12,5,103,.628,249,195,0.67,0.01,3.04,2.38,72,385,18.70,57,389,85.35,15,7,16.2,16.4,2494,10.0,1933,.899,10
7,Philadelphia Flyers*,28.1,82,43,25,11,3,100,.610,240,207,0.33,-0.07,2.93,2.52,55,350,15.71,55,314,82.48,11,9,14.3,16.1,2452,9.8,2144,.903,11
8,Buffalo Sabres*,28.1,82,46,30,5,1,98,.598,218,184,0.35,-0.07,2.66,2.24,60,373,16.09,40,334,88.02,6,5,15.1,15.4,2204,9.9,2195,.916,13
9,Pittsburgh Penguins*,28.0,82,42,28,9,3,96,.585,281,256,0.23,-0.07,3.43,3.12,76,375,20.27,78,405,80.74,7,11,19.2,18.7,2394,11.7,2397,.893,3
10,Washington Capitals*,30.1,82,41,27,10,4,96,.585,233,211,0.16,-0.10,2.84,2.57,75,353,21.25,62,391,84.14,6,7,13.8,12.8,2348,9.9,2273,.907,5
11,San Jose Sharks*,26.8,82,40,27,12,3,95,.579,217,192,0.36,0.06,2.65,2.34,57,406,14.04,61,441,86.17,8,10,16.5,16.8,2266,9.6,2169,.911,9
12,Edmonton Oilers*,26.2,82,39,28,12,3,93,.567,243,222,0.32,0.07,2.96,2.71,59,398,14.82,62,382,83.77,13,4,15.6,15.5,2145,11.3,2139,.896,8
13,Los Angeles Kings*,28.5,82,38,28,13,3,92,.561,252,228,0.32,0.03,3.07,2.78,71,367,19.35,72,382,81.15,14,6,14.3,14.4,2288,11.0,2160,.894,10
14,Toronto Maple Leafs*,29.4,82,37,29,11,5,90,.549,232,207,0.25,-0.05,2.83,2.52,57,355,16.06,55,366,84.97,2,9,17.4,15.1,2276,10.2,2244,.908,6
15,Vancouver Canucks*,26.7,82,36,28,11,7,90,.549,239,238,0.08,0.07,2.91,2.90,71,416,17.07,74,387,80.88,12,11,13.4,15.6,2434,9.8,2121,.888,2
16,Phoenix Coyotes,28.5,82,35,27,17,3,90,.549,214,212,0.07,0.05,2.61,2.59,57,343,16.62,64,432,85.19,9,6,16.2,12.4,2055,10.4,2430,.913,6
17,Boston Bruins,26.9,82,36,30,8,8,88,.537,227,249,-0.27,0.00,2.77,3.04,64,390,16.41,65,377,82.76,8,7,16.0,16.7,2359,9.6,2190,.886,2
