Rk,,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Detroit Red Wings*,31.9,82,51,17,10,4,116,.707,251,187,0.83,0.05,3.06,2.28,73,359,20.33,48,343,86.01,9,7,12.7,12.9,2538,9.9,2159,.913,7
2,Boston Bruins*,28.1,82,43,24,6,9,101,.616,236,201,0.33,-0.09,2.88,2.45,39,283,13.78,45,349,87.11,14,5,17.6,15.2,2595,9.1,2057,.902,6
3,Toronto Maple Leafs*,29.6,82,43,25,10,4,100,.610,249,207,0.44,-0.08,3.04,2.52,54,349,15.47,51,328,84.45,9,6,14.7,15.5,2339,10.6,2044,.899,5
4,Colorado Avalanche*,27.9,82,45,28,8,1,99,.604,212,169,0.58,0.06,2.59,2.06,62,344,18.02,41,315,86.98,7,7,12.2,12.6,2252,9.4,2177,.922,11
5,San Jose Sharks*,27.9,82,44,27,8,3,99,.604,248,199,0.62,0.02,3.02,2.43,59,369,15.99,54,381,85.83,15,6,15.1,15.1,2228,11.1,2335,.915,9
6,St. Louis Blues*,29.3,82,43,27,8,4,98,.598,227,188,0.54,0.07,2.77,2.29,62,356,17.42,56,379,85.22,5,7,16.1,15.5,2378,9.5,1847,.898,7
7,Philadelphia Flyers*,28.9,82,42,27,10,3,97,.591,234,192,0.41,-0.11,2.85,2.34,39,300,13.00,40,293,86.35,8,10,15.0,15.7,2442,9.6,2139,.910,7
8,Chicago Blackhawks*,29.4,82,41,27,13,1,96,.585,216,207,0.19,0.08,2.63,2.52,54,302,17.88,63,340,81.47,4,2,14.9,13.0,2271,9.5,2077,.900,6
9,New York Islanders*,27.5,82,42,28,8,4,96,.585,239,220,0.15,-0.08,2.91,2.68,59,363,16.25,52,366,85.79,17,10,15.2,16.0,2319,10.3,2285,.904,6
10,Los Angeles Kings*,28.9,82,40,27,11,4,95,.579,214,190,0.35,0.05,2.61,2.32,73,353,20.68,49,366,86.61,5,6,16.2,15.6,2110,10.1,2051,.907,8
11,Phoenix Coyotes*,27.2,82,40,27,9,6,95,.579,228,210,0.29,0.07,2.78,2.56,53,340,15.59,60,356,83.15,8,6,13.9,14.6,2179,10.5,2349,.911,6
12,New Jersey Devils*,28.9,82,41,28,9,4,95,.579,205,187,0.15,-0.07,2.50,2.28,44,261,16.86,43,265,83.77,2,8,12.1,11.8,2445,8.4,1900,.902,4
13,Vancouver Canucks*,26.3,82,42,30,7,3,94,.573,254,211,0.59,0.07,3.10,2.57,69,372,18.55,57,379,84.96,3,9,16.0,15.7,2326,10.9,2078,.898,8
14,Ottawa Senators*,26.3,82,39,27,9,7,94,.573,243,208,0.36,-0.07,2.96,2.54,55,331,16.62,48,307,84.36,11,5,16.3,16.6,2469,9.8,2125,.902,10
15,Edmonton Oilers,26.1,82,38,28,12,4,92,.561,205,182,0.34,0.06,2.50,2.22,51,333,15.32,50,348,85.63,12,7,15.4,14.9,2256,9.1,2120,.914,8
16,Carolina Hurricanes*,29.2,82,35,26,16,5,91,.555,217,217,-0.09,-0.09,2.65,2.65,63,391,16.11,54,332,83.73,4,11,12.3,15.9,2347,9.2,2214,.902,5
17,Dallas Stars,30.5,82,36,28,13,5,90,.549,215,213,0.09,0.07,2.62,2.60,60,350,17.14,59,319,81.50,7,8,11.5,13.1,2335,9.2,2135,.900,3
18,Montreal Canadiens*,28.4,82,36,31,12,3,87,.530,207,209,-0.10,-0.08,2.52,2.55,45,301,14.95,38,277,86.28,7,4,11.6,12.5,2092,9.9,2597,.920,7
19,Washington Capitals,30.1,82,36,33,11,2,85,.518,228,240,-0.25,-0.10,2.78,2.93,58,299,19.40,58,325,82.15,2,8,12.6,13.1,2293,9.9,2357,.898,6
20,Buffalo Sabres,26.0,82,35,35,11,1,82,.500,213,200,0.09,-0.07,2.60,2.44,50,375,13.33,41,304,86.51,7,6,14.6,16.0,2295,9.3,2120,.906,4
21,New York Rangers,28.9,82,36,38,4,4,80,.488,227,258,-0.43,-0.05,2.77,3.15,48,326,14.72,80,398,79.90,8,5,21.3,16.8,2392,9.5,2618,.901,2
22,Calgary Flames,27.6,82,32,35,12,3,79,.482,201,220,-0.15,0.08,2.45,2.68,55,364,15.11,66,356,81.46,10,5,19.2,19.1,2207,9.1,2242,.902,7
23,Minnesota Wild,27.3,82,26,35,12,9,73,.445,195,238,-0.41,0.11,2.38,2.90,55,373,14.75,62,362,82.87,11,9,14.6,14.0,1954,10.0,2296,.896,6
24,Nashville Predators,26.8,82,28,41,13,0,69,.421,196,230,-0.31,0.10,2.39,2.80,48,337,14.24,50,354,85.88,6,8,12.8,13.4,2019,9.7,2313,.901,5
