Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Detroit Red Wings*,32.1,82,54,21,7,115,.701,252,179,5,5,0.93,0.04,3.07,2.18,81,391,20.72,57,357,84.03,5,7,11.4,12.7,2820,8.9,1930,.907,9
2,San Jose Sharks*,27.7,82,49,23,10,108,.659,216,187,6,6,0.47,0.12,2.63,2.28,70,374,18.72,44,310,85.81,7,9,13.1,15.7,2428,8.9,1981,.906,7
3,Montreal Canadiens*,27.6,82,47,25,10,104,.634,257,216,5,6,0.35,-0.14,3.13,2.63,90,374,24.06,60,342,82.46,8,3,13.3,14.1,2382,10.8,2589,.917,6
4,Anaheim Ducks*,29.7,82,47,27,8,102,.622,197,184,8,7,0.30,0.13,2.40,2.24,60,361,16.62,69,408,83.09,8,7,18.1,16.9,2241,8.8,2299,.920,4
5,Pittsburgh Penguins*,26.9,82,47,27,8,102,.622,240,212,7,4,0.24,-0.14,2.93,2.59,77,378,20.37,68,357,80.95,6,10,14.4,15.1,2268,10.6,2523,.916,8
6,New Jersey Devils*,29.2,82,46,29,7,99,.604,198,193,8,4,0.00,-0.11,2.41,2.35,50,320,15.63,54,314,82.80,6,7,11.9,12.0,2362,8.4,2257,.914,4
7,Minnesota Wild*,27.7,82,44,28,10,98,.598,220,210,3,8,0.16,0.10,2.68,2.56,64,338,18.93,49,330,85.15,3,10,13.4,14.1,2218,9.9,2469,.915,5
8,New York Rangers*,27.4,82,42,27,13,97,.591,205,190,8,9,0.05,-0.12,2.50,2.32,61,370,16.49,53,343,84.55,4,6,14.1,14.3,2579,7.9,2124,.911,12
9,Dallas Stars*,29.0,82,45,30,7,97,.591,237,204,5,3,0.54,0.11,2.89,2.49,64,354,18.08,51,354,85.59,13,8,14.3,14.6,2187,10.8,2137,.905,5
10,Philadelphia Flyers*,28.1,82,42,29,11,95,.579,245,227,3,6,0.06,-0.12,2.99,2.77,84,385,21.82,65,388,83.25,13,6,17.9,17.3,2358,10.4,2609,.913,6
11,Colorado Avalanche*,28.5,82,44,31,7,95,.579,224,216,7,3,0.24,0.09,2.73,2.63,49,335,14.63,56,301,81.40,2,5,12.1,12.9,2349,9.5,2237,.903,3
12,Washington Capitals*,27.3,82,43,31,8,94,.573,238,227,4,4,-0.06,-0.19,2.90,2.77,65,346,18.79,68,349,80.52,5,8,11.9,11.9,2538,9.4,2259,.900,3
13,Ottawa Senators*,28.5,82,43,31,8,94,.573,258,242,3,5,0.06,-0.11,3.15,2.95,60,328,18.29,72,380,81.05,18,6,14.3,13.3,2471,10.4,2456,.901,3
14,Boston Bruins*,28.1,82,41,29,12,94,.573,206,215,6,7,-0.20,-0.08,2.51,2.62,56,319,17.55,71,332,78.61,9,6,13.0,12.9,2339,8.8,2495,.914,6
15,Calgary Flames*,29.5,82,42,30,10,94,.573,226,224,3,3,0.13,0.10,2.76,2.73,59,352,16.76,72,389,81.49,9,8,16.4,15.3,2316,9.8,2335,.904,2
16,Carolina Hurricanes,29.3,82,43,33,6,92,.561,250,246,2,3,-0.15,-0.18,3.05,3.00,79,420,18.81,75,355,78.87,4,13,14.4,16.6,2669,9.4,2368,.896,4
17,Nashville Predators*,28.1,82,41,32,9,91,.555,227,224,3,5,0.13,0.12,2.77,2.73,53,358,14.80,49,335,85.37,7,10,12.5,13.4,2425,9.4,2440,.908,10
18,Buffalo Sabres,26.8,82,39,31,12,90,.549,251,233,4,9,0.05,-0.11,3.06,2.84,66,366,18.03,56,333,83.18,9,8,12.2,13.5,2478,10.1,2326,.900,5
19,Vancouver Canucks,28.1,82,39,33,10,88,.537,207,206,6,9,0.08,0.11,2.52,2.51,63,369,17.07,64,368,82.61,8,7,18.0,18.6,2252,9.2,2367,.913,6
20,Edmonton Oilers,27.1,82,41,35,6,88,.537,220,247,15,4,-0.07,0.12,2.68,3.01,57,344,16.57,56,366,84.70,7,10,14.3,13.8,2156,10.2,2573,.904,4
21,Chicago Blackhawks,26.8,82,40,34,8,88,.537,234,231,5,4,0.16,0.12,2.85,2.82,58,365,15.89,69,385,82.08,17,6,16.8,16.1,2298,10.2,2346,.902,4
22,Florida Panthers,28.1,82,38,35,9,85,.518,211,220,5,6,-0.29,-0.17,2.57,2.68,60,313,19.17,66,374,82.35,4,3,12.5,11.8,2549,8.3,2752,.920,6
23,Phoenix Coyotes,26.5,82,38,37,7,83,.506,209,225,5,6,-0.04,0.17,2.55,2.74,63,339,18.58,64,332,80.72,11,12,14.5,13.6,2500,8.4,2518,.911,6
24,Toronto Maple Leafs,28.4,82,36,35,11,83,.506,228,256,3,4,-0.42,-0.06,2.78,3.12,61,343,17.78,77,352,78.13,4,10,13.3,12.4,2542,9.0,2402,.893,4
25,Columbus Blue Jackets,27.2,82,34,36,12,80,.488,190,210,3,8,-0.16,0.15,2.32,2.56,53,356,14.89,63,378,83.33,8,5,16.2,15.2,2381,8.0,2249,.907,11
26,New York Islanders,28.3,82,35,38,9,79,.482,189,240,5,3,-0.65,-0.05,2.30,2.93,48,330,14.55,68,375,81.87,10,15,12.7,11.7,2431,7.8,2488,.904,3
27,St. Louis Blues,28.4,82,33,36,13,79,.482,202,232,3,5,-0.24,0.16,2.46,2.83,47,334,14.07,56,359,84.40,3,13,14.1,13.6,2141,9.4,2249,.897,5
28,Atlanta Thrashers,29.3,82,34,40,8,76,.463,207,266,9,6,-0.80,-0.12,2.52,3.24,52,316,16.46,75,354,78.81,13,10,13.1,11.4,2115,9.8,2782,.904,5
29,Tampa Bay Lightning,27.9,82,31,42,9,71,.433,221,266,2,1,-0.67,-0.13,2.70,3.24,57,296,19.26,56,312,82.05,7,7,12.7,11.0,2354,9.4,2311,.885,3
