Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Vancouver Canucks*,28.5,82,51,22,9,111,0.677,241,191,8,7,0.57,-0.05,2.94,2.33,57,288,19.79,40,286,86.01,7,4,12.8,12.4,2583,9.3,2526,0.924,9,46:19,52.8,"1,825",21.8,"1,019",12.17,544,6.5,538,6.43,7,990
2,St. Louis Blues*,26.5,82,49,22,11,109,0.665,206,155,4,10,0.54,-0.01,2.51,1.89,45,269,16.73,40,282,85.82,7,3,13,12.1,2511,8.2,2190,0.929,15,46:31,53.1,"1,949",23.37,"1,120",13.43,353,4.23,500,5.99,9,"1,066"
3,New York Rangers*,26.5,82,51,24,7,109,0.665,222,182,4,5,0.46,-0.02,2.71,2.22,44,280,15.71,36,260,86.15,8,4,12.9,14.5,2338,9.5,2281,0.92,10,46:53,47.7,"2,419",29.04,"1,338",16.06,482,5.79,536,6.43,10,886
4,Pittsburgh Penguins*,28.5,82,51,25,6,108,0.659,273,218,9,3,0.71,-0.03,3.33,2.66,57,289,19.72,33,270,87.78,11,10,10.7,12.3,2779,9.8,2247,0.903,3,46:28,54.2,"2,058",24.72,"1,065",12.79,463,5.56,439,5.27,8,"1,088"
5,Nashville Predators*,26.8,82,48,26,8,104,0.634,232,205,5,5,0.34,0.01,2.83,2.5,54,250,21.6,40,244,83.61,5,4,8.4,8.3,2261,10.3,2522,0.919,5,48:36,46.6,"1,514",18.23,"1,213",14.61,600,7.22,642,7.73,14,803
6,Philadelphia Flyers*,27.3,82,47,26,9,103,0.628,260,225,4,7,0.39,0,3.17,2.74,66,335,19.7,58,319,81.82,6,9,16.1,16.4,2641,9.8,2329,0.903,6,44:39,51,"2,058",24.69,"1,208",14.49,588,7.05,478,5.73,7,"1,002"
7,Boston Bruins*,28.8,82,49,29,4,102,0.622,260,199,9,3,0.75,-0.07,3.17,2.43,43,250,17.2,43,260,83.46,8,1,13.5,11.9,2653,9.8,2441,0.918,8,47:55,53.8,"1,777",21.37,"1,054",12.68,522,6.27,456,5.48,8,"1,010"
8,New Jersey Devils*,30.1,82,48,28,6,102,0.622,216,205,12,4,0.23,0,2.63,2.5,46,267,17.23,27,259,89.58,15,13,11.5,10.7,2253,9.6,2199,0.907,7,47:13,50.3,"1,676",20.06,928,11.1,584,6.99,483,5.78,10,762
9,Detroit Red Wings*,30,82,48,28,6,102,0.622,239,200,9,3,0.55,0,2.91,2.44,48,298,16.11,50,274,81.75,2,11,8.5,10.4,2638,9.1,2212,0.91,7,46:37,54.9,"1,612",19.35,972,11.66,529,6.35,526,6.31,6,997
10,Chicago Blackhawks*,27,82,45,26,11,101,0.616,241,231,7,7,0.14,0.02,2.94,2.82,42,277,15.16,51,233,78.11,7,3,10.3,11.3,2583,9.3,2343,0.901,0,47:55,52.9,"1,500",17.94,"1,029",12.3,552,6.6,774,9.26,13,922
11,Phoenix Coyotes*,28.9,82,42,27,13,97,0.591,210,194,6,10,0.16,0.01,2.56,2.37,34,251,13.55,36,249,85.54,6,6,9.2,9.6,2428,8.6,2592,0.925,8,48:02,49.8,"2,084",24.95,"1,071",12.82,470,5.62,482,5.77,7,"1,011"
12,San Jose Sharks*,28.1,82,43,29,10,96,0.585,219,205,9,5,0.22,0,2.67,2.5,57,270,21.11,52,225,76.89,3,4,9.6,11.2,2773,7.9,2342,0.912,6,48:12,51.8,"1,565",18.71,"1,327",15.87,772,9.23,639,7.64,7,"1,081"
13,Los Angeles Kings*,26.7,82,40,27,15,95,0.579,188,170,6,9,0.19,0.01,2.29,2.07,49,289,16.96,38,293,87.03,9,2,11.3,11.1,2509,7.5,2248,0.924,11,45:53,54.7,"2,274",27.19,969,11.58,713,8.52,452,5.4,9,"1,123"
14,Florida Panthers*,29,82,38,26,18,94,0.573,197,216,6,11,-0.33,-0.03,2.4,2.63,53,286,18.53,49,239,79.5,4,6,9.7,10.9,2433,8.1,2505,0.914,4,47:42,49.5,"1,858",22.18,"1,042",12.44,464,5.54,602,7.19,11,917
15,Ottawa Senators*,27.8,82,41,31,10,92,0.561,243,236,6,4,0.09,-0.02,2.96,2.88,49,270,18.15,57,310,81.61,9,7,14,12.2,2574,9.4,2627,0.91,4,46:39,52.3,"1,974",23.71,"1,078",12.95,724,8.69,642,7.71,14,"1,033"
16,Washington Capitals*,27.6,82,42,32,8,92,0.561,218,226,4,4,-0.13,-0.03,2.66,2.76,41,245,16.73,49,266,81.58,3,10,9.4,8.3,2295,9.5,2475,0.909,8,47:49,48.9,"1,972",23.73,"1,302",15.67,696,8.37,602,7.24,6,934
17,Calgary Flames,29.6,82,37,29,16,90,0.549,199,217,3,9,-0.28,0.01,2.43,2.65,46,260,17.69,42,268,84.33,3,6,10.8,10.5,2258,8.8,2528,0.914,4,47:30,47.4,"1,603",19.2,"1,158",13.87,770,9.22,612,7.33,9,824
18,Dallas Stars,28.4,82,42,35,5,89,0.543,204,218,7,4,-0.1,0.03,2.49,2.66,33,244,13.52,52,303,82.84,5,3,12.6,10.9,2314,8.8,2527,0.914,5,46:57,49.8,"2,235",26.88,"1,262",15.17,595,7.15,552,6.64,11,"1,006"
19,Buffalo Sabres,27,82,39,32,11,89,0.543,211,223,7,7,-0.15,0,2.57,2.72,44,258,17.05,47,257,81.71,5,7,11,12,2397,8.8,2571,0.913,7,47:47,48.9,"1,512",18.1,"1,075",12.87,658,7.88,516,6.18,4,893
20,Colorado Avalanche,25.9,82,41,35,6,88,0.537,199,218,9,2,-0.13,0.01,2.43,2.66,41,223,18.39,47,277,83.03,5,4,11,9.5,2583,7.7,2426,0.91,6,47:52,51.3,"1,889",22.64,"1,111",13.31,487,5.84,704,8.43,6,873
21,Tampa Bay Lightning,29.5,82,38,36,8,84,0.512,232,278,3,3,-0.57,-0.01,2.83,3.39,41,269,15.24,59,284,79.23,2,12,10.5,10.2,2227,10.4,2501,0.889,2,47:18,47.3,"1,788",21.49,"1,278",15.36,541,6.5,536,6.44,6,859
22,Winnipeg Jets,26.2,82,37,35,10,84,0.512,221,242,4,4,-0.3,-0.04,2.7,2.95,45,251,17.93,58,292,80.14,3,8,11,9.7,2471,8.9,2470,0.902,6,47:11,50.3,"1,966",23.66,"1,197",14.4,550,6.62,484,5.82,4,"1,067"
23,Carolina Hurricanes,26.5,82,33,33,16,82,0.5,212,237,1,6,-0.39,-0.02,2.59,2.89,49,294,16.67,49,252,80.56,12,4,9.3,10.9,2498,8.5,2653,0.911,6,47:07,48.3,"1,699",20.43,"1,239",14.9,534,6.42,589,7.08,5,"1,015"
24,Minnesota Wild,27.4,82,35,36,11,81,0.494,166,217,11,9,-0.58,0.02,2.02,2.65,39,258,15.12,51,285,82.11,5,4,12.1,12.3,2174,7.6,2570,0.916,6,46:59,44.3,"1,771",21.12,"1,347",16.06,453,5.4,561,6.69,5,838
25,Toronto Maple Leafs,25.9,82,35,37,10,80,0.488,227,259,4,5,-0.38,0.02,2.77,3.16,49,267,18.35,55,242,77.27,5,6,10,10.4,2322,9.8,2528,0.898,7,47:50,48.9,"2,218",26.69,"1,223",14.71,849,10.21,569,6.84,4,991
26,Anaheim Ducks,28.5,82,34,36,12,80,0.488,201,224,3,7,-0.29,0.04,2.45,2.73,45,271,16.61,51,283,81.98,4,5,12,11.2,2291,8.8,2367,0.905,4,46:45,48.6,"1,856",22.33,"1,175",14.13,646,7.77,443,5.33,6,"1,017"
27,New York Islanders,27.8,82,34,37,11,79,0.482,196,251,7,4,-0.58,0.05,2.39,3.06,45,243,18.52,46,236,80.51,4,5,9.3,9,2410,8.1,2469,0.898,3,48:23,47.6,"1,840",22.08,"1,364",16.37,684,8.21,851,10.21,10,850
28,Montreal Canadiens,26.8,82,31,35,16,78,0.476,207,214,5,12,-0.17,0,2.52,2.61,43,301,14.29,36,315,88.57,10,8,11.6,11.9,2340,8.8,2432,0.912,4,45:14,48,"1,839",21.99,"1,341",16.03,695,8.31,468,5.59,5,901
29,Edmonton Oilers,27.4,82,32,40,10,74,0.451,207,232,5,7,-0.32,0.01,2.52,2.83,54,262,20.61,52,296,82.43,5,8,11.5,10,2186,9.5,2518,0.908,4,46:35,47.3,"1,632",19.63,"1,239",14.9,909,10.93,621,7.47,7,875
30,Columbus Blue Jackets,26.7,82,29,46,7,65,0.396,198,257,4,5,-0.65,0.08,2.41,3.13,49,317,15.46,64,274,76.64,7,8,12.6,14.1,2454,8.1,2537,0.899,,46:02,47.6,"2,018",24.34,"1,054",12.71,399,4.81,598,7.21,9,842
